AIRLINE,ORIGIN_AIRPORT,DESTINATION_AIRPORT,TOTAL_DELAY
B6,SYR,MCO,493.99999031526875
US,LAS,PHX,-16.000000625953064
DL,BHM,ATL,-5.000000993506887
F9,IAH,DEN,-10.999995373712608
AA,MIA,PHX,-22.00000381924385
DL,ATL,LIT,-7.999991889327056
US,MCO,CLT,0.9999963711459259
DL,SRQ,ATL,-12.999995527118493
DL,DTW,TPA,12.999999510742036
DL,MEM,ATL,-4.0203747175837634e-07
DL,LAX,MSP,-8.999999373964386
MQ,BMI,ORD,157.99999625002252
WN,OAK,LAS,-2.0000065480374474
VX,AUS,SFO,-38.99999774277591
AS,PDX,SNA,-15.999997136831773
B6,LGB,SLC,13.00000071610479
OO,BFL,DEN,25.999979121061074
OO,ORD,TVC,-10.000002977915734
OO,AUS,SFO,-20.999999219140868
UA,IAH,IAD,23.000003404154327
WN,BUF,PHX,-4.255673879072219e-06
EV,CLE,ORD,12.00000082503199
US,PIT,CLT,64.00000192862154
WN,OMA,STL,40.00001736486578
AA,MCO,LAX,20.000000359302234
F9,PDX,DEN,-12.000000950682413
US,PHL,BOS,220.99999928307903
MQ,JLN,DFW,-31.99997718887706
AS,SFO,SEA,-6.999998235926078
US,CLT,MCO,11.00000027120064
F9,DEN,TPA,49.00000289603816
NK,ACY,MCO,38.9999932959668
AA,LAS,DFW,52.00000087016206
OO,MKE,ORD,89.00000575947445
WN,SJC,SNA,-1.00000344420922
WN,SDF,BWI,-5.99999171799098
AA,LAX,DCA,37.99999859790588
WN,LAS,SAN,-2.999998335021189
AA,LAX,MIA,6.999998093685033
EV,MEI,DFW,17.999752848840032
WN,BWI,MCO,-7.000000942012463
AA,LGA,ORD,137.00000348453605
MQ,ORD,DTW,31.99999472794614
EV,LAN,ATL,0.9999949881381909
OO,JAC,LAX,162.00000123792873
EV,SHV,IAH,-8.000002769562165
UA,SFO,SEA,51.99999500573685
MQ,ASE,LAX,134.00001038153664
DL,MSP,DEN,-30.00000381246341
MQ,FSD,ORD,6.999993963808265
EV,BNA,EWR,-28.00000183723632
UA,ORD,LAX,-5.999998120411384
EV,XNA,IAH,142.00000317919705
UA,ORD,BOS,10.999997316159785
DL,ATL,GSP,334.00000734057306
UA,FLL,IAH,33.9999989536747
EV,ATL,FSM,1.000000512660975
US,PHL,LAS,-8.999995551221282
OO,MSP,STL,-0.9999995961287951
OO,SBA,PHX,8.999989628561732
OO,SLC,GTF,2.0000026913292714
WN,MDW,CMH,103.00000276713104
DL,MSP,SEA,-16.000007338187196
US,ATL,PHL,19.99999841325786
AA,DFW,HDN,10.999972357232764
NK,ORD,DEN,485.0000021583525
HA,KOA,HNL,1.0000013512065067
B6,JFK,SYR,248.00000816054393
AA,JFK,MIA,-3.0000048163919004
WN,LAS,AMA,26.0000022393508
OO,COS,DEN,-14.999989979840898
OO,TUL,ORD,-2.999989889893328
WN,BUF,FLL,7.999992073977683
EV,IAD,EWR,36.0000063893563
OO,SLC,DEN,10.999998547291877
OO,LAX,ICT,25.999995702592813
B6,JFK,BUF,-7.999993604726129
UA,IAH,HNL,12.9999969008319
AS,PDX,SFO,-7.00000217843526
B6,JFK,BUF,-9.999993493540828
UA,CLE,SJU,3.000008407871647
US,ONT,PHX,23.00000071773674
WN,JAX,BNA,9.999999452674484
WN,SMF,DEN,87.99999636157081
DL,ATL,SEA,-7.000002453426951
WN,ATL,RIC,-29.999995360937127
US,EWR,CLT,-11.00000470033762
WN,STL,PHX,-4.999998862789447
AA,DFW,EWR,18.00000443103838
DL,SLC,ATL,12.000000938703586
WN,DAL,ELP,-1.0000022318384865
WN,BWI,PVD,71.99998714250941
DL,DCA,ATL,1.0000013150521596
WN,MCO,DAY,-1.0000031815731916
AS,BOS,SEA,171.0000033922878
WN,OMA,MDW,31.00000504269369
WN,BDL,RSW,-13.99999614749089
NK,MCO,ACY,-11.999991537354397
US,DFW,PHX,-0.9999996170602898
MQ,FNT,ORD,200.00001736116852
WN,LAS,HOU,47.00000038252342
MQ,DFW,ACT,32.99999937431827
US,MCO,DCA,174.99999710436182
DL,IND,ATL,-33.000005490176456
MQ,PNS,DFW,112.99998766303437
WN,CMH,STL,67.00000670154257
EV,ATL,HPN,7.00000614352917
UA,DEN,EWR,48.00000162632166
OO,LAX,SBA,-12.999981247668643
B6,BOS,RIC,340.00000563554585
WN,MCO,LAS,-3.0000011305313237
US,CLT,MIA,-11.000003428716127
DL,JFK,MSP,90.99999855516081
HA,HNL,OAK,-11.999991233603751
MQ,DTW,ORD,6.999994811857842
AA,DFW,SFO,32.00000166321687
DL,ATL,SAN,-24.999997600508514
MQ,BNA,ORD,24.999992134414985
US,TPA,CLT,4.999999940475178
EV,IAH,XNA,-5.999997584378555
DL,LGA,ATL,12.00000390335952
OO,SJC,DEN,6.999995003873725
US,PHL,DEN,211.0000023641713
EV,DTW,EWR,-2.9999996034544907
AA,TUL,DFW,-36.99998846441817
WN,ATL,MCI,58.000002725500444
WN,LAS,LAX,40.000001808150415
MQ,GRI,DFW,23.000011516731924
AA,ORD,DFW,-6.999999928991748
WN,LAX,MDW,35.99999930061785
DL,LGA,TPA,-15.999994210140152
WN,LAS,DEN,214.99999859118924
DL,ATL,JAX,249.999996016953
VX,SFO,LAS,-21.00000221815953
AA,PHX,MIA,163.9999967144974
F9,DCA,DEN,210.0000076539175
EV,MSP,BDL,-18.000010855785966
EV,IAH,MLU,-9.000008168043628
WN,MAF,HOU,-12.99998826251791
WN,DTW,PHX,13.999997181473994
DL,DFW,ATL,1.9999998968754156
WN,TPA,BWI,-21.999998006362624
WN,HOU,ELP,129.99999458152547
US,ATL,PHX,-4.999999781695465
UA,LAX,OGG,-12.000000377637207
US,CLT,PVD,66.99998852763784
OO,PSP,DEN,14.000004808972246
AA,LAS,ORD,107.99999808634425
WN,OAK,LAS,-11.000007220895228
WN,LAX,ELP,41.999996691354504
AA,MIA,MSY,-20.00000268414277
EV,STL,MSP,20.000000765623557
DL,JFK,LAX,330.0000010363003
US,DCA,PHX,6.000001344447448
UA,BOS,IAD,-8.999998011044646
WN,SLC,DEN,2.999997984017533
UA,DEN,IAD,142.00000090368493
EV,XNA,IAH,-39.999998147053326
DL,MSN,ATL,26.99999767543202
DL,LAX,IND,-21.99999474667657
